stationLocations,,,,
id,name,lineNumber,latitude,longitude
133,서울,1,37.55315,126.972533
132,시청,1,37.56359,126.975407
131,종각,1,37.570203,126.983116
130,종로3가,1,37.570429,126.992095
129,종로5가,1,37.570971,127.0019
128,동대문,1,37.57179,127.011383
127,동묘앞,1,37.573265,127.016459
126,신설동,1,37.576117,127.02471
125,제기동,1,37.578116,127.034902
124,청량리,1,37.580148,127.045063
202,을지로입구,2,37.565998,126.982569
203,을지로3가,2,37.566292,126.991773
204,을지로4가,2,37.566611,126.998122
205,동대문역사문화공원,2,37.565597,127.009113
206,신당,2,37.565681,127.019488
207,상왕십리,2,37.564504,127.028872
208,왕십리,2,37.561159,127.035505
209,한양대,2,37.55658,127.043504
210,뚝섬,2,37.54718,127.047413
211,성수,2,37.544628,127.055983
212,건대입구,2,37.540408,127.069231
213,구의,2,37.536857,127.085024
214,강변,2,37.535161,127.094684
215,잠실나루,2,37.520688,127.103836
216,잠실,2,37.513305,127.100129
217,잠실새내,2,37.520731,127.103738
218,종합운동장,2,37.511008,127.073641
219,삼성,2,37.508827,127.063203
220,선릉,2,37.504257,127.048174
221,역삼,2,37.500658,127.03643
222,강남,2,37.497958,127.027539
223,교대,2,37.493957,127.014631
224,서초,2,37.49191,127.007945
225,방배,2,37.481469,126.997627
226,사당,2,37.476536,126.981631
227,낙성대,2,37.47693,126.963783
228,서울대입구,2,37.481233,126.952745
229,봉천,2,37.482416,126.941896
230,신림,2,37.484216,126.929573
231,신대방,2,37.487534,126.913279
232,구로디지털단지,2,37.485005,126.902626
233,대림,2,37.492426,126.895293
234,신도림,2,37.508815,126.891222
235,문래,2,37.517993,126.894766
236,영등포구청,2,37.525766,126.896627
237,당산,2,37.533877,126.902011
238,합정,2,37.550025,126.914557
239,홍대입구,2,37.556748,126.923643
240,신촌,2,37.555153,126.93689
241,이대,2,37.556734,126.945897
242,아현,2,37.557407,126.956079
243,충정로,2,37.559742,126.964455
201,시청,2,37.563534,126.975271
246,신설동,2,37.574653,127.025158
250,용두,2,37.574012,127.03811
245,신답,2,37.56147,127.056348
244,용답,2,37.566412,126.977863
247,도림천,2,37.514759,126.882586
248,양천구청,2,37.512194,126.865193
249,신정네거리,2,37.520218,126.852849
200,까치산,2,37.53181,126.846706
309,지축,3,37.648281,126.912551
310,구파발,3,37.636612,126.918827
311,연신내,3,37.618855,126.920859
312,불광,3,37.610554,126.929843
313,녹번,3,37.600882,126.935758
314,홍제,3,37.588851,126.944092
315,무악재,3,37.582658,126.950131
316,독립문,3,37.574534,126.957902
317,경복궁,3,37.575844,126.973576
318,안국,3,37.576562,126.98547
319,종로3가,3,37.571537,126.991237
320,을지로3가,3,37.566299,126.992616
321,충무로,3,37.561302,126.995473
322,동대입구,3,37.55816,127.005273
323,약수,3,37.554674,127.010628
324,금호,3,37.548269,127.015785
325,옥수,3,37.541653,127.017303
326,압구정,3,37.526169,127.028502
327,신사,3,37.516438,127.020247
328,잠원,3,37.512989,127.011613
329,고속터미널,3,37.504953,127.004916
330,교대,3,37.49306,127.013796
331,남부터미널,3,37.48494,127.016289
332,양재,3,37.48466,127.03513
333,매봉,3,37.487114,127.046907
334,도곡,3,37.491129,127.055694
335,대치,3,37.494601,127.063449
336,학여울,3,37.496757,127.070541
337,대청,3,37.493607,127.079526
338,일원,3,37.48389,127.08416
339,수서,3,37.487507,127.101324
340,가락시장,3,37.492368,127.118101
341,경찰병원,3,37.495754,127.124198
342,오금,3,37.502288,127.128344
409,당고개,4,37.66956,127.078404
410,상계,4,37.660576,127.073199
411,노원,4,37.656274,127.063183
412,창동,4,37.652993,127.046746
413,쌍문,4,37.648274,127.034381
414,수유,4,37.637127,127.024731
415,미아,4,37.626435,127.026151
416,미아사거리,4,37.613276,127.030083
417,길음,4,37.604087,127.025353
418,성신여대입구,4,37.592782,127.017338
419,한성대입구,4,37.58838,127.006751
420,혜화,4,37.582116,127.001759
421,동대문,4,37.5708397,127.009403
422,동대문역사문화공원,4,37.565083,127.007645
423,충무로,4,37.561302,126.995473
424,명동,4,37.561055,126.988271
425,회현,4,37.559698,126.979565
426,서울,4,37.553172,126.972836
427,숙대입구,4,37.545124,126.971952
428,삼각지,4,37.535057,126.973354
429,신용산,4,37.52919,126.96858
430,이촌,4,37.522525,126.97335
431,동작,4,37.503567,126.980171
432,총신대입구,4,37.487521,126.982309
433,사당,4,37.476563,126.981746
434,남태령,4,37.464339,126.989081
511,방화,5,37.577669,126.812822
512,개화산,5,37.572458,126.806838
513,김포공항,5,37.56217,126.801273
514,송정,5,37.561411,126.812052
515,마곡,5,37.562182,126.82693
516,발산,5,37.562182,126.82693
517,우장산,5,37.548864,126.83633
518,화곡,5,37.541585,126.840436
519,까치산,5,37.53181,126.846706
520,신정,5,37.525001,126.856176
521,목동,5,37.526088,126.864296
522,오목교,5,37.524557,126.875049
523,양평,5,37.525614,126.886177
524,영등포구청,5,37.524209,126.895022
525,영등포시장,5,37.52276,126.905143
526,신길,5,37.51763,126.914886
527,여의도,5,37.521578,126.924318
528,여의나루,5,37.527145,126.932807
529,마포,5,37.539718,126.946043
530,공덕,5,37.544005,126.951058
531,애오개,5,37.553592,126.956733
532,충정로,5,37.560061,126.962783
533,서대문,5,37.565812,126.966639
534,광화문,5,37.570545,126.976568
535,종로3가,5,37.572546,126.990447
536,을지로4가,5,37.56658,126.998127
537,동대문역사문화공원,5,37.564682,127.00533
538,청구,5,37.560237,127.01379
539,신금호,5,37.554504,127.020403
540,행당,5,37.557297,127.029482
541,왕십리,5,37.56197,127.037264
542,마장,5,37.566066,127.042921
543,답십리,5,37.566833,127.05266
544,장한평,5,37.561438,127.064601
545,군자,5,37.557102,127.079559
546,아차산,5,37.552005,127.089609
547,광나루,5,37.545301,127.103478
548,천호,5,37.538566,127.123539
549,강동,5,37.53581,127.13249
550,길동,5,37.538022,127.140085
551,굽은다리,5,37.545442,127.142844
552,명일,5,37.551317,127.144002
553,고덕,5,37.555002,127.154214
554,상일동,5,37.556714,127.166381
555,둔촌동,5,37.527787,127.136219
556,올림픽공원,5,37.516217,127.130957
557,방이,5,37.508752,127.126054
558,오금,5,37.502228,127.127701
559,개롱,5,37.498097,127.134817
560,거여,5,37.493208,127.143983
561,마천,5,37.494972,127.152784
562,강일,5,37.557521,127.176018
563,미사,5,37.56329,127.192954
564,하남풍산,5,37.552201,127.203897
565,하남시청,5,37.541723,127.206901
566,하남검단산,5,37.539729,127.223427
611,응암,6,37.59859,126.915583
612,역촌,6,37.60605,126.922764
613,불광,6,37.610919,126.929504
614,독바위,6,37.618413,126.933035
616,연신내,6,37.618596,126.920519
617,구산,6,37.611223,126.917246
618,새절,6,37.591148,126.913613
619,증산,6,37.583989,126.909785
620,디지털미디어시티,6,37.577005,126.898643
621,월드컵경기장,6,37.569439,126.899077
622,마포구청,6,37.563535,126.903326
623,망원,6,37.556031,126.910129
624,합정,6,37.549033,126.913546
625,상수,6,37.547704,126.92292
626,광흥창,6,37.547464,126.931971
627,대흥,6,37.547732,126.942214
628,공덕,6,37.543592,126.951664
629,효창공원앞,6,37.539279,126.961348
630,삼각지,6,37.535563,126.973996
631,녹사평,6,37.53469,126.98665
632,이태원,6,37.534485,126.994369
633,한강진,6,37.53956,127.001729
634,버티고개,6,37.547933,127.006948
635,약수,6,37.554087,127.010237
636,청구,6,37.560221,127.013776
637,신당,6,37.566174,127.016158
638,동묘앞,6,37.572275,127.015666
639,창신,6,37.579772,127.015246
640,보문,6,37.585293,127.019377
641,안암,6,37.586261,127.02903
642,고려대,6,37.59034,127.03626
643,월곡,6,37.60192,127.041492
644,상월곡,6,37.606392,127.048509
645,돌곶이,6,37.610522,127.056419
646,석계,6,37.614937,127.065922
647,태릉입구,6,37.617319,127.074741
648,화랑대,6,37.619875,127.084106
615,봉화산,6,37.617293,127.091375
649,신내,6,37.612571,127.104326
711,장암,7,37.70015,127.053126
712,도봉산,7,37.689131,127.046548
713,수락산,7,37.677804,127.055314
714,마들,7,37.664985,127.057701
715,노원,7,37.654478,127.060555
716,중계,7,37.645052,127.064084
717,하계,7,37.636363,127.067999
718,공릉,7,37.625642,127.072969
719,태릉입구,7,37.617319,127.074741
720,먹골,7,37.610638,127.077719
721,중화,7,37.602604,127.079254
722,상봉,7,37.595673,127.085708
723,면목,7,37.588671,127.087503
724,사가정,7,37.580912,127.088502
725,용마산,7,37.573752,127.086802
726,중곡,7,37.565877,127.084291
727,군자,7,37.557151,127.079484
728,어린이대공원,7,37.547962,127.07465
729,건대입구,7,37.540882,127.071103
730,뚝섬유원지,7,37.531558,127.066714
731,청담,7,37.519097,127.051851
732,강남구청,7,37.517185,127.04122
733,학동,7,37.514262,127.031738
734,논현,7,37.511108,127.021385
735,반포,7,37.508171,127.011717
736,고속터미널,7,37.503387,127.005055
737,내방,7,37.48764,126.993541
738,총신대입구,7,37.485258,126.981766
739,남성,7,37.484688,126.971108
740,숭실대입구,7,37.496258,126.953649
741,상도,7,37.50279,126.947949
742,장승배기,7,37.504845,126.939025
743,신대방삼거리,7,37.499717,126.928218
744,보라매,7,37.499916,126.920112
745,신풍,7,37.500107,126.909806
746,대림,7,37.492984,126.896997
747,남구로,7,37.486181,126.887372
748,가산디지털단지,7,37.480376,126.882704
749,철산,7,37.47616,126.868217
750,광명사거리,7,37.47927,126.854854
751,천왕,7,37.486699,126.838684
752,온수,7,37.492059,126.823294
811,암사,8,37.550127,127.127521
812,천호,8,37.53792,127.123179
813,강동구청,8,37.530348,127.120461
814,몽촌토성,8,37.517692,127.11274
815,잠실,8,37.514649,127.104267
816,석촌,8,37.505396,127.106995
817,송파,8,37.49978,127.11212
818,가락시장,8,37.493004,127.118279
819,문정,8,37.485931,127.122473
820,장지,8,37.478609,127.126229
821,복정,8,37.471016,127.126746
828,남위례,8,37.462839,127.139047
822,산성,8,37.456886,127.149927
823,남한산성입구,8,37.451568,127.159845
824,단대오거리,8,37.445057,127.156735
825,신흥,8,37.440952,127.14759
826,수진,8,37.437575,127.140936
827,모란,8,37.433888,127.129921
